La epilepsia puede tener muchas causas, aunque la predisposición genética o padecer algún tipo de anomalía o lesión cerebral, suele ser las causas más habituales.;predisposición;epilepsia;genética;anomalía;;
Es, después de la epilepsia, la enfermedad neurológica más frecuente en adultos jóvenes y el trastorno neurológico discapacitante no traumático más común en adultos jóvenes;neurológico;neurológica;trastorno;epilepsia;epilepsia;discapacitante
Una prolongada longevidad cuyo éxito radica, en parte, en el sistema sanitario pero que plantea importantes retos;prolongada;éxito;radica;plantea;retos;longevidad
Entre ellos, nuevos tipos de prótesis de mama y de restauración facial: nariz, pabellones auriculares, globos oculares y prótesis de maxilares;pabellones;auriculares;globos;oculares;;
La pérdida de piezas dentales y prótesis dentales mal ajustadas producen dolor y molestias en la masticación e incluso pueden provocar la aparición de llagas.;llagas;piezas ;dentales;prótesis;masticación;
Para ello, cuenta con unidades móviles que se desplazan a los centros socio sanitarios para ofrecer un servicio odontológico integral y de calidad;integral;odontológico;integral;servicio;;
También es importante, en este contexto, ejercitar las habilidades motrices básicas y complejas;habilidades;motrices;ejercitar;contexto;;
A nivel metabólico la leptina, una hormona principalmente producida por los adipocitos (células grasas), se encarga de regular del apetito;leptina;apetito;células;metabólico;hormona;adipocitos
La diabetes es una de las enfermedades endocrinológicas más prevalentes en la infancia y cuya incidencia va en aumento;enfermedades;endocrinológicas;prevalentes;incidencia;;
En España, el SNS es el marco de garantías en salud para toda la ciudadanía y está sustentado en los principios de universalidad, equidad y solidaridad social;sustentado;marco;solidaridad;equidad;garantías;universalidad
También ha hecho un llamamiento a los medios de comunicación para que contribuyan a difundir y promover la garantía de estos derechos.;llamamiento;difundir;promover;contribuyan;garantía;
La fotogrametría también supone otro avance a través por ejemplo de catálogos virtuales y recreaciones en 3D.;recreaciones;3D;avance;virtuales;catálogos;fotogrametría
La vitamina D, hormona clave para la salud ósea desde la gestación hasta la vejez;clave;vitamina;D;hormona;ósea;gestación
Se trata de terapias que utilizan células, genes o tejidos como medicamentos para abordar enfermedades para las que no existen medicamentos tradicionales;terapias;abordar;células;tejidos;genes;
